count,mean,median,std,min,25%,75%,max
41,61.65853659,32,70.21417583,4,17,89,254
41,1.707317073,1,1.006079083,1,1,2,5
41,2.87804878,3,1.964626198,0,2,3,8
41,3.536585366,4,1.027072563,1,3,4,5
41,3.731707317,4,1.072948979,1,3,5,5
41,3.975609756,4,0.907959385,2,3,5,5
41,3.658536585,4,1.039465153,1,3,4,5
41,44.14634146,45,5.701144515,25,41,48,55
41,1.585365854,1,2.085372985,0,0,2,10
41,7.069512195,0,11.1926029,0,0,19,30
41,2.699268293,2.25,1.419470659,0,1.5,4,6
41,32.48780488,18,36.43152615,2,8,46,166
41,33.02439024,19,44.80261589,0,8,32,238
41,27.12195122,22,23.37968683,4,8,36,84
41,0.219512195,0,0.419058177,0,0,0,1
41,0.341463415,0,0.480091455,0,0,1,1
41,0.317073171,0,0.471116991,0,0,1,1
41,0.12195122,0,0.331294578,0,0,0,1
41,0.170731707,0,0.380948751,0,0,0,1
41,0.048780488,0,0.21808479,0,0,0,1
41,0.243902439,0,0.434769353,0,0,0,1
41,0.097560976,0,0.300406229,0,0,0,1
41,0.195121951,0,0.401217659,0,0,0,1
41,0.414634146,0,0.498778997,0,0,1,1
